torch.Size([1, 1, 10, 128])
0.00390625
0
22;-60;13;37;16;23;35;30;9;35;-94;31;-75;-48;-46;30;-64;-68;-60;-77;8;31;24;24;-39;-45;22;19;24;21;9;-56;22;-22;-21;39;-44;23;-30;-72;-62;22;21;17;16;12;-42;16;-56;21;-66;-56;-27;-42;30;-2;33;18;23;10;14;-14;-9;-52;-65;19;-65;23;21;24;5;28;-48;28;9;27;26;-60;28;29;3;-41;-27;26;0;-35;17;-28;-46;-52;25;18;21;-25;27;32;-78;17;-33;15;32;-66;21;-4;-60;-68;35;-22;-54;-96;46;16;20;-50;22;-36;-51;17;14;-63;39;22;18;33;25;33;-44;27;
-50;-17;20;-33;22;-42;-55;-37;11;41;-66;41;-50;24;-46;33;22;-52;-48;-59;-61;-59;30;23;-47;-45;21;17;-52;-50;0;25;30;39;21;39;-16;20;32;-37;-41;-49;23;22;-40;20;22;-57;-24;26;-46;30;-33;-48;39;30;-40;-58;24;-76;39;-44;47;-25;22;27;22;20;-58;-32;16;27;23;-62;20;-8;-38;9;-30;33;-47;39;22;-38;14;37;11;2;-60;24;-56;25;-58;29;-48;34;-29;25;23;-54;-34;-65;20;19;-56;25;-54;42;-43;-62;58;-42;-3;25;-37;-46;-7;18;18;6;-21;-30;26;12;-21;-56;28;-58;
23;-49;-51;-9;15;20;36;-51;11;39;18;-4;37;34;39;-48;26;43;28;34;13;27;24;-34;29;-57;18;23;21;-34;-58;23;-61;5;-31;34;-24;17;-40;19;31;-66;18;11;-16;-64;-40;16;12;18;25;-23;23;-7;-53;-44;35;13;24;7;34;42;-32;29;-73;-70;18;18;15;-52;-71;18;-42;31;-58;-66;29;-52;-55;-8;-47;13;-64;17;8;-14;7;-54;-27;-53;19;-34;21;-48;26;19;21;-26;25;12;38;26;-15;-66;41;14;40;-20;-38;0;33;-68;23;-27;29;14;-38;-36;-34;0;38;18;-64;35;-40;30;34;25;
-14;21;-43;-21;-49;24;-12;35;-49;-34;18;-47;35;-47;31;19;-30;36;32;36;11;30;16;-49;30;31;-50;27;21;-35;-46;22;-56;-6;-47;-43;27;-49;30;19;-48;10;-41;-49;37;9;21;15;23;13;27;25;3;22;-7;28;20;20;12;-1;-41;44;33;-45;-16;11;-17;-38;25;26;8;-33;18;20;8;27;-44;5;37;-26;-60;-48;-79;26;-23;-30;-62;21;22;13;-52;13;10;31;15;-34;22;-51;-29;-28;26;17;23;6;34;21;25;22;22;-1;-55;11;15;17;30;21;-46;11;-59;-35;2;-60;18;35;-24;-19;-11;-53;
20;25;-41;39;-52;28;36;36;21;-40;23;-9;1;22;34;-45;24;48;36;37;-21;21;-59;21;34;29;19;-70;19;24;17;-65;22;-11;20;-9;33;-55;-26;24;31;12;-54;19;39;-61;-58;24;-63;-73;31;-29;28;38;-47;-36;-46;26;21;15;-50;-23;-35;-41;18;-43;14;-47;30;28;-30;23;-69;-50;20;24;23;-40;-44;-33;15;-74;11;-49;15;34;11;-36;25;-44;26;-72;-57;-30;-73;-73;28;-33;-39;8;36;34;-82;11;39;-50;38;-63;9;8;42;19;-73;7;-59;17;17;-39;-41;-65;-33;-16;17;-56;36;28;-52;20;
-45;24;-51;-4;23;-6;-44;-18;17;-30;25;-52;32;-2;-40;27;26;51;33;31;18;-63;-68;-22;34;-2;0;30;-50;-29;-35;-53;-43;40;-20;-36;31;-41;-32;20;22;-66;-42;-55;37;18;-38;26;30;-57;29;13;-61;42;9;25;-57;27;-38;-59;-14;45;-37;26;18;-43;23;-49;28;-7;8;21;12;-63;-52;-18;24;13;-4;-55;-30;18;-13;29;13;0;-70;23;20;21;-25;17;-74;35;21;30;27;-42;29;-87;-33;32;-30;5;35;26;-51;31;-25;9;-37;17;24;-39;33;-33;22;17;-49;11;33;19;26;-26;21;-46;35;-55;
27;-55;-48;-37;13;-78;35;-44;-53;-44;18;36;40;26;35;21;11;33;33;35;-92;34;22;31;33;27;20;25;24;-47;14;16;21;39;19;-33;13;-39;31;23;-51;15;-30;14;27;-78;21;-69;23;24;-79;25;25;32;-60;23;-49;-71;-65;11;29;45;34;12;18;13;16;18;-68;34;-72;20;-52;31;-58;-73;-47;-69;-45;21;18;21;8;-60;15;29;9;-58;22;9;-48;-66;23;30;-54;5;-17;-49;27;9;-55;23;25;13;40;18;-20;26;21;6;-52;-74;-33;22;-38;21;22;16;12;9;-44;17;-60;-54;-64;30;24;-19;
-48;24;26;36;-44;-56;-12;-34;25;-48;26;-31;-30;31;-8;-45;-43;50;-9;-1;22;2;-39;26;-49;21;-48;-45;-51;26;-38;-4;31;-39;24;13;-41;-38;-32;-59;31;18;20;-54;-25;-23;32;25;33;12;37;-50;-27;42;-50;-39;-40;27;-75;-65;-30;4;-34;33;18;-46;-67;-46;29;-61;-67;-63;20;-33;-56;25;32;8;42;33;19;28;14;-39;-73;-19;-50;-23;25;-39;30;20;35;28;24;36;26;27;35;-54;-38;40;29;-81;-30;-41;-45;-34;-33;11;36;19;25;-46;-22;-58;19;-71;-31;11;-65;-29;20;-21;33;27;15;27;
17;-63;21;-37;21;27;35;35;-66;33;-68;39;11;-22;-37;-28;21;-24;-59;-63;21;-74;15;-29;-61;33;23;-34;-59;29;16;15;33;-31;-64;42;-13;24;37;21;13;30;-62;20;-62;23;26;-72;27;-44;-38;19;29;-36;38;29;33;-78;19;5;41;-59;44;25;16;28;-48;-5;-78;23;8;-29;22;23;6;-40;-58;-34;27;-25;19;-22;20;28;-90;-42;15;28;-60;11;-12;-26;23;-22;-46;-49;-60;26;-27;10;16;-64;-65;-67;-60;18;43;-21;28;-64;58;-57;25;22;37;26;-32;-76;19;-56;38;-63;-49;17;34;-26;32;-2;
-60;11;19;32;-36;-34;-46;41;-60;41;16;42;-46;-26;-10;32;-50;-44;-46;31;-55;-8;-42;-31;-48;-35;-62;-52;-61;24;-46;-28;25;-2;21;-8;-61;13;37;-46;27;20;21;-39;-50;22;-17;-74;-46;-31;-54;27;-19;-60;39;-46;38;-72;-18;-63;43;-36;46;30;21;27;18;-29;-74;-34;6;-44;22;24;17;27;12;12;30;31;13;36;14;-46;1;31;-25;30;-67;21;19;22;-20;-35;20;30;-53;22;-35;22;-37;19;19;14;19;-50;39;39;27;-64;61;19;-72;19;-39;-42;15;17;8;1;40;17;26;-40;-55;-34;-42;15;
