torch.Size([64, 3, 3, 3])
0.015625
0
-3;-2;-2;
-2;-1;-1;
-2;-2;-2;
-2;-1;-1;
-1;-1;-2;
-1;-1;-1;
2;3;2;
3;3;1;
2;2;2;
-1;14;-13;
-22;17;-13;
12;13;-4;
-1;20;-14;
-14;-9;-31;
-10;24;3;
-7;23;14;
-3;10;10;
-16;19;-24;
3;3;2;
1;1;1;
-2;-3;-4;
2;0;0;
0;0;-1;
0;-2;-1;
-4;-4;-5;
-2;-2;-2;
-2;-1;-1;
1;2;5;
-3;-5;2;
-3;-5;1;
-2;1;5;
-2;-3;3;
-2;-1;4;
-5;2;7;
-4;-4;3;
-3;-3;4;
7;7;-1;
-1;20;6;
-13;-16;-12;
-12;8;2;
5;8;11;
3;2;-35;
-15;-19;-8;
22;11;14;
-1;-9;11;
9;12;-29;
-23;14;5;
-16;16;-23;
-1;-4;8;
11;21;11;
-19;2;30;
-25;1;-8;
19;20;-8;
-18;16;-34;
34;15;0;
-17;10;-19;
-21;12;-13;
-8;8;22;
-14;-14;-11;
4;-13;18;
4;7;13;
-8;-20;-15;
13;9;5;
0;6;2;
-20;-22;-7;
-35;-15;17;
18;7;-3;
19;11;1;
0;11;12;
-5;-13;-3;
3;10;15;
6;8;-16;
28;-9;-4;
7;16;-30;
17;-33;10;
-23;0;-14;
-11;3;45;
7;-32;17;
-21;20;22;
-37;6;4;
-12;-33;56;
-2;-7;0;
1;-8;-1;
-7;-5;12;
-10;1;-2;
7;4;9;
5;7;-1;
3;-5;-1;
-5;1;-2;
4;5;-3;
-10;-3;3;
0;-7;9;
-4;18;3;
6;-5;9;
-21;0;5;
-14;4;0;
3;1;-14;
-5;1;8;
-15;20;6;
14;0;2;
14;4;-15;
1;5;-18;
-34;5;11;
-4;20;-10;
14;-25;15;
11;4;3;
7;4;3;
-15;-12;-4;
34;-1;-47;
60;5;-68;
46;5;-29;
13;37;-26;
-2;-44;27;
17;-30;4;
-45;-31;65;
-44;6;74;
-88;54;13;
4;34;-21;
13;-17;-7;
-1;-7;15;
6;19;-22;
11;-43;-6;
-4;-5;9;
18;-11;6;
6;-18;-2;
-36;0;42;
2;4;-4;
4;-3;4;
6;-1;-5;
8;-7;0;
-2;-3;-9;
2;-1;-1;
2;1;-5;
8;7;-1;
8;-4;-4;
-13;19;0;
-8;15;-6;
2;-4;-6;
-3;7;-8;
-5;13;-9;
7;9;-11;
3;15;-10;
-7;1;-6;
-12;20;-3;
-14;13;2;
15;-7;-17;
-5;12;14;
3;-8;-4;
-1;-6;1;
1;8;-15;
-9;-15;1;
17;-5;-6;
-1;13;15;
-33;20;21;
-7;1;7;
-4;-20;26;
-32;-3;10;
4;-40;-24;
59;3;-25;
-9;35;17;
-1;-12;16;
4;-14;-10;
3;5;1;
8;-2;-2;
-4;-3;-6;
5;3;3;
4;2;-1;
-1;-8;-5;
5;5;1;
-8;-2;3;
-3;-1;-1;
-3;-12;0;
-3;-3;9;
4;4;10;
-8;7;4;
-10;-3;-7;
7;4;6;
-5;1;0;
-2;-5;-11;
-2;8;12;
24;-1;-3;
-24;-58;48;
3;-16;26;
28;-46;5;
-46;24;-18;
-31;55;22;
45;-26;-3;
72;-26;1;
-27;16;-48;
-1;7;12;
-5;11;4;
-17;-12;1;
3;8;4;
-6;-2;8;
-3;-16;-3;
8;-10;3;
-4;0;8;
9;-8;-2;
-62;40;4;
-19;52;14;
-8;-43;22;
-4;22;-24;
-20;31;-40;
57;-38;10;
6;54;-43;
7;29;-61;
-14;5;21;
6;0;-18;
-13;-5;6;
-3;-3;7;
13;5;-4;
-8;-4;5;
0;-4;0;
-2;1;0;
-1;4;12;
-1;-9;-7;
-10;-23;-6;
-4;22;18;
4;7;-9;
15;-6;-10;
-8;9;15;
10;-7;-15;
-7;-15;4;
-17;14;7;
9;-4;6;
-4;2;5;
-1;-7;-4;
3;-6;-3;
5;12;5;
5;-1;-1;
6;1;-3;
2;-9;0;
0;-8;-6;
6;-6;-2;
-1;-5;-7;
-4;1;1;
0;3;5;
-1;1;-2;
-2;3;3;
-1;2;5;
2;3;1;
0;3;2;
-1;0;0;
7;-13;-1;
11;-15;14;
-7;-10;2;
-9;-20;-8;
8;24;38;
7;-16;-8;
-1;-5;0;
-9;16;5;
15;1;-23;
5;6;-10;
13;-4;-6;
2;2;-6;
10;5;-8;
4;6;-10;
1;-8;-9;
4;-2;9;
5;-4;-5;
2;2;-6;
-1;10;-13;
3;8;-8;
1;0;0;
9;-6;-8;
3;2;-9;
2;8;-6;
-2;6;-6;
-1;9;4;
-8;-3;5;
-6;-10;-6;
-3;1;-10;
20;2;0;
2;3;0;
-8;-4;2;
6;1;4;
6;1;-7;
-1;-5;1;
-2;8;5;
-6;6;12;
-3;-2;4;
-7;4;5;
-1;-8;-2;
-9;-6;9;
-13;1;1;
-3;-7;11;
-3;-7;6;
11;-4;9;
-15;0;8;
-5;-6;-9;
-21;-13;-15;
23;-5;-1;
17;25;-31;
25;19;29;
-12;-2;9;
-20;5;-14;
5;9;-29;
-13;3;-3;
8;3;2;
0;21;4;
-10;12;12;
2;-5;4;
7;-21;-10;
5;19;-9;
23;-3;-11;
9;-27;-13;
-20;4;15;
33;-22;-20;
9;-13;-3;
-32;7;28;
24;4;-11;
-9;8;-3;
-39;35;10;
25;29;-50;
11;-21;-8;
-6;17;-1;
-2;1;2;
12;10;-1;
7;7;4;
-8;-3;-4;
-8;-5;-6;
0;-12;-3;
-8;-17;8;
-8;-9;2;
-9;-10;2;
18;3;-18;
14;6;1;
11;-4;4;
4;-32;6;
6;12;-20;
4;-13;12;
4;-6;-9;
7;4;-4;
2;-5;-3;
-4;-6;4;
2;0;14;
-1;-2;-4;
-2;-3;-2;
-2;0;1;
3;3;1;
3;0;-3;
-3;-4;-6;
-18;-4;5;
13;-1;-8;
11;12;-19;
-11;2;6;
2;-10;0;
9;7;7;
-13;-14;-1;
20;-10;2;
6;-1;3;
-11;0;0;
2;-18;23;
1;-9;11;
8;-4;5;
5;-14;6;
3;-13;6;
2;-4;-1;
16;-12;-2;
15;-10;-4;
4;-6;-2;
3;-1;-4;
8;-2;-2;
-2;-5;-3;
6;-4;-2;
6;-2;0;
4;7;6;
5;0;3;
2;2;3;
11;-9;-3;
-7;4;5;
-10;4;-12;
-7;-16;5;
-12;-5;5;
2;1;-5;
-10;0;1;
-3;6;8;
-5;21;13;
23;1;-2;
19;-7;0;
-13;-9;-13;
19;-29;0;
9;13;15;
-2;-11;-1;
-25;0;10;
-13;17;6;
4;-25;9;
-27;-32;-17;
-10;-1;-17;
74;5;27;
1;15;13;
-52;-16;-10;
19;-4;15;
78;14;31;
-13;4;13;
-50;-14;-37;
25;9;-7;
-8;12;17;
-25;-21;10;
1;3;-9;
-12;13;4;
2;-8;11;
0;12;-18;
1;3;4;
2;-9;-3;
-1;6;1;
2;3;3;
1;1;-4;
-8;2;1;
-2;4;2;
-2;4;1;
-5;0;1;
-2;5;3;
-1;-1;1;
-10;-9;15;
-18;10;10;
1;1;1;
-3;-3;8;
0;-6;4;
2;-6;1;
-19;-8;24;
7;-1;-4;
-3;4;2;
0;-3;-3;
-2;2;-9;
-4;0;-2;
9;2;4;
11;10;5;
-2;13;8;
-9;-10;-9;
10;-4;-4;
-8;6;3;
-20;75;57;
-35;58;13;
-119;-19;-13;
31;2;-81;
-44;-17;3;
75;23;14;
-12;-19;-38;
40;-53;26;
66;10;-18;
-10;-43;26;
2;22;-10;
10;-7;8;
2;47;36;
3;-27;21;
-14;48;-114;
-30;-24;-21;
-34;-20;35;
67;22;6;
54;97;-36;
-18;-38;8;
0;27;-3;
-75;-103;11;
-26;-5;6;
-59;12;36;
10;26;9;
