torch.Size([1, 384, 8, 8])
0.0078125
128
128;128;128;128;128;128;128;128;
128;128;147;141;128;128;128;128;
128;128;132;136;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;139;133;
128;128;128;128;128;128;142;137;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
134;128;128;152;128;128;128;128;
143;128;128;144;128;128;128;128;
151;128;128;128;128;144;128;135;
140;139;128;128;128;128;128;163;
128;158;128;128;128;128;128;138;
128;128;128;128;128;128;128;140;
128;128;128;128;128;128;128;146;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;135;155;165;194;128;
128;128;134;128;128;170;193;128;
135;181;165;141;153;175;133;128;
128;169;128;128;128;128;128;128;
128;128;128;132;148;154;164;128;
128;128;128;150;136;131;129;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
128;128;128;128;128;128;128;128;
